"WY","Month","Region","Secchi","SampleSize_secchi"
1991,2,"North",73.9411764705882,17
1991,2,"South",92.1351351351351,37
1991,2,"West",47.3684210526316,57
1991,3,"North",33.0454545454545,22
1991,3,"South",58.625,48
1991,3,"West",34.1780821917808,73
1991,4,"North",61.0945952131942,74
1991,4,"South",53,24
1991,4,"West",32.7215188907672,237
1991,5,"North",65.885496028507,131
1991,5,"South",62.25,24
1991,5,"West",31.7572256268104,346
1991,6,"North",63.8000000143051,50
1991,6,"South",58.1428571428571,35
1991,6,"West",33.2385790789793,197
1991,7,"North",50.7777777777778,9
1991,7,"South",60.6938775510204,49
1991,7,"West",34.0757575757576,66
1991,8,"North",50.875,8
1991,8,"South",57.5833333333333,24
1991,8,"West",32.3829787234043,47
1991,9,"North",53.2105263157895,19
1991,9,"South",65.5,48
1991,9,"West",39.4507042253521,71
1991,10,"North",70.9230769230769,13
1991,10,"South",93.6896551724138,29
1991,10,"West",58.1836734693878,49
1991,11,"North",74.6923076923077,13
1991,11,"South",96.4137931034483,29
1991,11,"West",51.3333333333333,57
1991,12,"North",87.5,12
1991,12,"South",116.344827586207,29
1991,12,"West",56.8947368421053,57
1992,1,"North",90.2567559061823,148
1992,1,"South",105.135135135135,37
1992,1,"West",59.2586206896552,58
1992,2,"North",61.258536596996,205
1992,2,"South",95.1666666666667,36
1992,2,"West",56.5970149253731,67
1992,3,"North",38.2756755219923,185
1992,3,"South",61.7755102040816,49
1992,3,"West",35.1830985915493,71
1992,4,"North",53,8
1992,4,"South",68.3333333333333,24
1992,4,"West",36.3987139011119,311
1992,5,"North",84.5135124137809,111
1992,5,"South",51,24
1992,5,"West",39.4298507117513,335
1992,6,"North",88.7052635744998,95
1992,6,"South",57.0597014925373,67
1992,6,"West",41.5970872872084,206
1992,7,"North",62.3333333333333,9
1992,7,"South",59.4857142857143,35
1992,7,"West",39.9259259259259,54
1992,8,"North",64.5,8
1992,8,"South",65.75,24
1992,8,"West",36.425,40
1992,9,"North",65.6249994039536,96
1992,9,"South",76.4166666666667,48
1992,9,"West",45.625,72
1992,10,"North",70.1111111111111,18
1992,10,"South",89.3541666666667,48
1992,10,"West",50.527027027027,74
1992,11,"North",70.9285714285714,14
1992,11,"South",104.636363636364,33
1992,11,"West",59.3392857142857,56
1992,12,"North",91.0000003524449,46
1992,12,"South",133.555555555556,36
1992,12,"West",58.7931034482759,58
1993,1,"North",21.4620251602764,158
1993,1,"South",26.5135135135135,37
1993,1,"West",33.4107142857143,56
1993,2,"North",23.2052631574242,190
1993,2,"South",25.6944444444444,36
1993,2,"West",21.046875,64
1993,3,"North",41.4593497131898,246
1993,3,"South",66.1621621621622,37
1993,3,"West",25.7936507936508,63
1993,4,"North",47.7699112058741,226
1993,4,"South",69.6756756756757,37
1993,4,"West",42.0343748223036,320
1993,5,"North",83.1085970800926,221
1993,5,"South",61.7837837837838,37
1993,5,"West",36.9808217639792,365
1993,6,"North",56.354544858499,110
1993,6,"South",52.695652173913,23
1993,6,"West",36.1549815916047,271
1993,7,"North",68.9090909090909,11
